날짜,영화관,스크린수,상영횟수
2024-08-07,CGV,495,1135
2024-08-07,롯데시네마,318,899
2024-08-07,메가박스,182,517
2024-08-08,CGV,459,1130
2024-08-08,롯데시네마,318,863
2024-08-08,메가박스,184,500
2024-08-09,CGV,480,1287
2024-08-09,롯데시네마,295,840
2024-08-09,메가박스,200,512
2024-08-10,CGV,519,1625
2024-08-10,롯데시네마,319,1121
2024-08-10,메가박스,240,722
2024-08-11,CGV,522,1638
2024-08-11,롯데시네마,323,1089
2024-08-11,메가박스,236,710
2024-08-12,CGV,406,1162
2024-08-12,롯데시네마,250,718
2024-08-12,메가박스,171,438
2024-08-13,CGV,393,1078
2024-08-13,롯데시네마,239,640
2024-08-13,메가박스,167,398
2024-08-14,CGV,224,487
2024-08-14,롯데시네마,179,369
2024-08-14,메가박스,135,229
2024-08-15,CGV,314,738
2024-08-15,롯데시네마,237,577
2024-08-15,메가박스,180,376
2024-08-16,CGV,245,517
2024-08-16,롯데시네마,188,362
2024-08-16,메가박스,128,237
2024-08-17,CGV,302,674
2024-08-17,롯데시네마,245,586
2024-08-17,메가박스,184,364
2024-08-18,CGV,306,663
2024-08-18,롯데시네마,251,570
2024-08-18,메가박스,181,370
2024-08-19,CGV,206,388
2024-08-19,롯데시네마,139,223
2024-08-19,메가박스,114,173
2024-08-20,CGV,209,391
2024-08-20,롯데시네마,136,214
2024-08-20,메가박스,111,166
